Bulan;Tahun; Penjualan 
Jan;2016; 4.825 
Feb;2016; 4.634 
Mar;2016; 4.774 
Apr;2016; 4.802 
May;2016; 5.695 
Jun;2016; 4.404 
Jul;2016; 4.874 
Aug;2016; 5.657 
Sep;2016; 5.637 
Oct;2016; 5.534 
Nov;2016; 5.605 
Dec;2016; 5.543 
Jan;2017; 5.623 
Feb;2017; 5.421 
Mar;2017; 5.423 
Apr;2017; 5.946 
May;2017; 4.220 
Jun;2017; 4.492 
Jul;2017; 4.573 
Aug;2017; 4.493 
Sep;2017; 4.652 
Oct;2017; 4.665 
Nov;2017; 4.524 
Dec;2017; 4.702 
Jan;2018; 4.590 
Feb;2018; 4.645 
Mar;2018; 4.707 
Apr;2018; 5.712 
May;2018; 4.215 
Jun;2018; 4.431 
Jul;2018; 4.528 
Aug;2018; 4.580 
Sep;2018; 4.604 
Oct;2018; 5.646 
Nov;2018; 5.667 
Dec;2018; 5.737 
Jan;2019; 5.630 
Feb;2019; 5.586 
Mar;2019; 5.534 
Apr;2019; 5.928 
May;2019; 4.467 
Jun;2019; 4.421 
Jul;2019; 4.630 
Aug;2019; 4.720 
Sep;2019; 4.640 
Oct;2019; 4.538 
Nov;2019; 5.325 
Dec;2019; 4.825 
Jan;2020; 4.659 
Feb;2020; 4.863 
Mar;2020; 3.528 
Apr;2020; 1.584 
May;2020; 1.834 
Jun;2020; 2.030 
Jul;2020; 2.214 
Aug;2020; 2.426 
Sep;2020; 2.469 
Oct;2020; 2.672 
Nov;2020; 3.561 
Dec;2020; 3.624 
Jan;2021; 3.834 
Feb;2021; 3.856 
Mar;2021; 4.439 
Apr;2021; 3.740 
May;2021; 3.755 
Jun;2021; 3.740 
Jul;2021; 3.852 
Aug;2021; 4.267 
Sep;2021; 4.102 
Oct;2021; 4.734 
Nov;2021; 4.802 
Dec;2021; 4.846 
Jan;2022; 4.820 
Feb;2022; 4.920 
Mar;2022; 5.430 
Apr;2022; 4.092 
May;2022; 4.423 
Jun;2022; 4.408 
Jul;2022; 4.386 
Aug;2022; 4.542 
Sep;2022; 4.608 
Oct;2022; 5.059 
Nov;2022; 5.338 
Dec;2022; 5.168 
Jan;2023; 4.897 
Feb;2023; 4.652 
Mar;2023; 4.458 
Apr;2023; 3.501 
