Bulan;Tahun;Penjualan
Jan;2019;2322
Feb;2019;113862
Mar;2019;74882
Apr;2019;37066
May;2019;41850
Jun;2019;14964
Jul;2019;164690
Aug;2019;78905
Sep;2019;59180
Oct;2019;197542
Nov;2019;212835
Dec;2019;143921
Jan;2020;124358
Feb;2020;65145
Mar;2020;115799
Apr;2020;80281
May;2020;54266
Jun;2020;64371
Jul;2020;39345
Aug;2020;24791
Sep;2020;108231
Oct;2020;89096
Nov;2020;75981
Dec;2020;90844
Jan;2021;124873
Feb;2021;72198
Mar;2021;118895
Apr;2021;98427
May;2021;9976
Jun;2021;77615
Jul;2021;101480
Aug;2021;145039
Sep;2021;129301
Oct;2021;128570
Nov;2021;88064
Dec;2021;80926
Jan;2022;102727
Feb;2022;68800
Mar;2022;168087
Apr;2022;192167
May;2022;78647
Jun;2022;115670
Jul;2022;34929
Aug;2022;135665
Sep;2022;83850
Oct;2022;83248
Nov;2022;73745
Dec;2022;78854
Jan;2023;25026
Feb;2023;58108
Mar;2023;47816
Apr;2023;74906
May;2023;84280
Jun;2023;149253
Jul;2023;43774
Aug;2023;75040
Sep;2023;64414
