Bulan;Tahun;Penjualan
Jan;2019;2.322
Feb;2019;113.862
Mar;2019;74.882
Apr;2019;37.066
May;2019;41.850
Jun;2019;14.964
Jul;2019;164.690
Aug;2019;78.905
Sep;2019;59.180
Oct;2019;197.542
Nov;2019;212.835
Dec;2019;143.921
Jan;2020;124.358
Feb;2020;65.145
Mar;2020;115.799
Apr;2020;80.281
May;2020;54.266
Jun;2020;64.371
Jul;2020;39.345
Aug;2020;24.791
Sep;2020;108.231
Oct;2020;89.096
Nov;2020;75.981
Dec;2020;90.844
Jan;2021;124.873
Feb;2021;72.198
Mar;2021;118.895
Apr;2021;98.427
May;2021;9.976
Jun;2021;77.615
Jul;2021;101.480
Aug;2021;145.039
Sep;2021;129.301
Oct;2021;128.570
Nov;2021;88.064
Dec;2021;80.926
Jan;2022;102.727
Feb;2022;68.800
Mar;2022;168.087
Apr;2022;192.167
May;2022;78.647
Jun;2022;115.670
Jul;2022;34.929
Aug;2022;135.665
Sep;2022;83.850
Oct;2022;83.248
Nov;2022;73.745
Dec;2022;78.854
Jan;2023;25.026
Feb;2023;58.108
Mar;2023;47.816
Apr;2023;74.906
May;2023;84.280
Jun;2023;149.253
Jul;2023;43.774
Aug;2023;75.040
Sep;2023;64.414
